CI ID,Name,Alias,Approval group,Managed by,Support group,Manufacturer/Vendor,Short Description,Assigned to,Business criticality,Class,Comments,Consumer type,Created by,Domain,Managed By Group,Parent,Problem Manager Group,Problem Owner Group,Product Owner Executive,Product Owner,Revenue Impact,Service Executive ,Service Owner,Service Team,Supported by,Updated by,Text,n_tokens,index
BSN0001401,Adobe Experience Manager - Property Portal PPv5,AEM Upgrade from PPv4,Incident-Mgmt-DigitalAndReservations-L2-APPRV,Sheila Allen,AEM-PPv5-Dev-US-CAN,,"Property Portal allows on-property customers to connect to Hotel internet. Objective of the release will be do a code fix for click tracking and post back call. No confflict with aries release deployment as this change/defectt fix needs AEM ONLY deployment

...............................................................................................................................................................................................................
Top 25 = Yes
Revenue Generating = Yes
Business Domain = Marketing & Loyalty
APS-Config-TM = Padma Neelagaru
B2B Status = In Progress
Simple Dependency Status = NA
Service Map Status = NA
Validated = 
VBy = ",Anil Chennapragada,Tier 2,Business Service,,Internal,ijess202,global,,Adobe Experience Manager - Platform,ProblemManager_APS-PROB,,,,Revenue Generating,Sarah Searls,Richard DiStefano,Application Production Support,PADMA NEELAGARU,admin,CI ID: BSN0001401; Name: Adobe Experience Manager - Property Portal PPv5; Alias: AEM Upgrade from PPv4; Approval group: Incident-Mgmt-DigitalAndReservations-L2-APPRV; Managed by: Sheila Allen; Support group: AEM-PPv5-Dev-US-CAN; Manufacturer/Vendor: ; Short Description: Property Portal allows on-property customers to connect to Hotel internet. Objective of the release ; Assigned to: Anil Chennapragada; Business criticality: Tier 2; Class: Business Service; Comments: ; Consumer type: Internal; Created by: ijess202; Domain: global; Managed By Group: ; Parent: Adobe Experience Manager - Platform; Problem Manager Group: ProblemManager_APS-PROB; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: Revenue Generating; Service Executive : Sarah Searls; Service Owner: Richard DiStefano; Service Team: Application Production Support; Supported by: PADMA NEELAGARU; Updated by: admin,222,35
BSN0002283,Adobe Experience Manager - Restaurants and Bars,AEM,AEM-Restaurants-and-Bars-APPRV,Rahul Saxena,IncidentMgmt-Digital-L2-Support,,"Restaurants and Bars pages served by Phoenix platform

Service Map Status = New",Ankit Shah,Tier 2,Business Service,,Internal,ijess202,global,AEM-Restaurants-and-Bars-Support,,ProblemManager_APS-PROB,AEM-Restaurants-and-Bars-PROB,,,Revenue Generating,Saurabh Narula,Pankaj Kumar,Application Production Support,PADMA NEELAGARU,ppnee867,"CI ID: BSN0002283; Name: Adobe Experience Manager - Restaurants and Bars; Alias: AEM; Approval group: AEM-Restaurants-and-Bars-APPRV; Managed by: Rahul Saxena; Support group: IncidentMgmt-Digital-L2-Support; Manufacturer/Vendor: ; Short Description: Restaurants and Bars pages served by Phoenix platform

Service Map Status = New; Assigned to: Ankit Shah; Business criticality: Tier 2; Class: Business Service; Comments: ; Consumer type: Internal; Created by: ijess202; Domain: global; Managed By Group: AEM-Restaurants-and-Bars-Support; Parent: ; Problem Manager Group: ProblemManager_APS-PROB; Problem Owner Group: AEM-Restaurants-and-Bars-PROB; Product Owner Executive: ; Product Owner: ; Revenue Impact: Revenue Generating; Service Executive : Saurabh Narula; Service Owner: Pankaj Kumar; Service Team: Application Production Support; Supported by: PADMA NEELAGARU; Updated by: ppnee867",224,36
BSN0001107,Adobe Experience Manager - SHOP,AEM,Incident-Mgmt-DigitalAndReservations-L2-APPRV,Grace Chorey,AEM-Search-and-Maps-Support,,"New image gallery experience on AEM will improve property photo browsing experience for customers, drive higher user engagement to positively impact look-to-book rate.
AEM Shop Migration for Search Results Page (SERP) and Hotel Quick View (HQV) Page to Phoenix (AEM) Platform. This will impact production environment on Marriott.com. 
Infrastructure components managed by Adobe
For more details: https://confluence.marriott.com/pages/viewpage.action?pageId=218993581
................................................................................................................................................................................................
Top 25 = Yes
Revenue Generating = Yes
Business Domain = Marketing & Loyalty
APS-Config-TM = Padma Neelagaru
B2B Status = Complete
Simple Dependency Status = Complete
Service Map Status = NA
Validated = 
VBy = ",,Tier 1,Business Service,Updated details as per RITM004282638,Internal,ijess202,global,,Adobe Experience Manager - Platform,ProblemManager_APS-PROB,,,,Revenue Generating,Grace Chorey,Grace Chorey,Application Production Support,PADMA NEELAGARU,rcamp253,"CI ID: BSN0001107; Name: Adobe Experience Manager - SHOP; Alias: AEM; Approval group: Incident-Mgmt-DigitalAndReservations-L2-APPRV; Managed by: Grace Chorey; Support group: AEM-Search-and-Maps-Support; Manufacturer/Vendor: ; Short Description: New image gallery experience on AEM will improve property photo browsing experience for customers, d; Assigned to: ; Business criticality: Tier 1; Class: Business Service; Comments: Updated details as per RITM004282638; Consumer type: Internal; Created by: ijess202; Domain: global; Managed By Group: ; Parent: Adobe Experience Manager - Platform; Problem Manager Group: ProblemManager_APS-PROB; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: Revenue Generating; Service Executive : Grace Chorey; Service Owner: Grace Chorey; Service Team: Application Production Support; Supported by: PADMA NEELAGARU; Updated by: rcamp253",215,37
CI085742445,Adobe Experience Manager - Storefront,AEM,Incident-Mgmt-DigitalAndReservations-L2-APPRV,Grace Chorey,IncidentMgmt-Digital-L2-Support,,"'================================================================
Top 25 = Yes
Revenue Generating = Yes
Business Domain = Marketing & Loyalty
APS-Config-TM = Padma Neelagaru
B2B Status = Complete
Simple Dependency Status = Complete
Service Map Status = NA
Validated = 
VBy = ",,Tier 2,Business Service,Service Team updated as  per RITM001658630 Updated details as per RITM004282638,,ijess202,global,,Adobe Experience Manager - Platform,ProblemManager_APS-PROB,,,,Revenue Generating,Grace Chorey,Grace Chorey,Application Production Support,PADMA NEELAGARU,rcamp253,"CI ID: CI085742445; Name: Adobe Experience Manager - Storefront; Alias: AEM; Approval group: Incident-Mgmt-DigitalAndReservations-L2-APPRV; Managed by: Grace Chorey; Support group: IncidentMgmt-Digital-L2-Support; Manufacturer/Vendor: ; Short Description: '================================================================
Top 25 = Yes
Revenue Generating = ; Assigned to: ; Business criticality: Tier 2; Class: Business Service; Comments: Service Team updated as  per RITM001658630 Updated details as per RITM004282638; Consumer type: ; Created by: ijess202; Domain: global; Managed By Group: ; Parent: Adobe Experience Manager - Platform; Problem Manager Group: ProblemManager_APS-PROB; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: Revenue Generating; Service Executive : Grace Chorey; Service Owner: Grace Chorey; Service Team: Application Production Support; Supported by: PADMA NEELAGARU; Updated by: rcamp253",221,38
BSN0001987,Adobe Experience Manager - The Ritz-Carlton ,TRC - AEM,Incident-Mgmt-DigitalAndReservations-L2-APPRV,Samantha Baxter,TRC-AEM-Support,,"The Ritz-Carlton hosted on AEM
The objective of this project is to migrate The Ritz-Carlton web application from legacy Adobe Experience Manager instance to Enterprise Adobe Experience Manager instance on the AEM platform. This release will be a Dark Launch.
https://confluence.marriott.com/display/RITZ/RitzCarlton.com
................................................................................................................................................................................................
Top 25 = Yes
Revenue Generating = Yes
Business Domain = Marketing & Loyalty
APS-Config-TM = Padma Neelagaru
B2B Status = In Progress
Simple Dependency Status = In Progress
Service Map Status = NA
Validated = 
VBy = ",,Tier 2,Business Service,,Internal,ijess202,global,,Adobe Experience Manager - Platform,ProblemManager_APS-PROB,,,,Revenue Generating,Robin Thiessen,Saurabh Narula,Application Production Support,PADMA NEELAGARU,rcamp253,"CI ID: BSN0001987; Name: Adobe Experience Manager - The Ritz-Carlton; Alias: TRC - AEM; Approval group: Incident-Mgmt-DigitalAndReservations-L2-APPRV; Managed by: Samantha Baxter; Support group: TRC-AEM-Support; Manufacturer/Vendor: ; Short Description: The Ritz-Carlton hosted on AEM
The objective of this project is to migrate The Ritz-Carlton web appl; Assigned to: ; Business criticality: Tier 2; Class: Business Service; Comments: ; Consumer type: Internal; Created by: ijess202; Domain: global; Managed By Group: ; Parent: Adobe Experience Manager - Platform; Problem Manager Group: ProblemManager_APS-PROB; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: Revenue Generating; Service Executive : Robin Thiessen; Service Owner: Saurabh Narula; Service Team: Application Production Support; Supported by: PADMA NEELAGARU; Updated by: rcamp253",221,39
BSN0001095,Adobe Experience Manager - WEM  to AEM Content Migration,AEM,Incident-Mgmt-DigitalAndReservations-L2-APPRV,Grace Chorey,IncidentMgmt-Digital-L2-Support,,"This is a new application which will contain WEM to AEM Migration application code.
For more details: https://confluence.marriott.com/display/WTACM/Documentation
Infrastructure managed by Adobe for this application
.....................................................................................................................................................................
Top 25 = Yes
Revenue Generating = Yes
Business Domain = Marketing & Loyalty
APS-Config-TM = Padma Neelagaru
B2B Status = Complete
Simple Dependency Status = NA
Service Map Status = NA
Validated = 
VBy = ",,Tier 3,Business Service,Updated details as per RITM004282638,Internal,ijess202,global,,Adobe Experience Manager - Platform,ProblemManager_APS-PROB,,,,Revenue Generating,Grace Chorey,Grace Chorey,Application Production Support,PADMA NEELAGARU,pgarg688,"CI ID: BSN0001095; Name: Adobe Experience Manager - WEM  to AEM Content Migration; Alias: AEM; Approval group: Incident-Mgmt-DigitalAndReservations-L2-APPRV; Managed by: Grace Chorey; Support group: IncidentMgmt-Digital-L2-Support; Manufacturer/Vendor: ; Short Description: This is a new application which will contain WEM to AEM Migration application code.
For more details; Assigned to: ; Business criticality: Tier 3; Class: Business Service; Comments: Updated details as per RITM004282638; Consumer type: Internal; Created by: ijess202; Domain: global; Managed By Group: ; Parent: Adobe Experience Manager - Platform; Problem Manager Group: ProblemManager_APS-PROB; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: Revenue Generating; Service Executive : Grace Chorey; Service Owner: Grace Chorey; Service Team: Application Production Support; Supported by: PADMA NEELAGARU; Updated by: pgarg688",225,40
BSN0001125,Adobe Experience Manager- Content Transformation Service,AEM,Incident-Mgmt-DigitalAndReservations-L2-APPRV,Grace Chorey,IncidentMgmt-Digital-L2-Support,,"Content Transformation Service. The app consumes data from AEM and exposes content as a service for consumption by existing channels. This is a stand alone application hosted on marriott Network.
For More Details: https://confluence.marriott.com/pages/viewpage.action?pageId=228212396
https://confluence.marriott.com/display/WTACM/CTS+Infra+Details
................................................................................................................................................................................................................
Top 25 = Yes
Revenue Generating = Yes
Business Domain = Marketing & Loyalty
APS-Config-TM = Padma Neelagaru
B2B Status = Complete
Simple Dependency Status = Complete
Service Map Status = NA
Validated = 
VBy = 
",,Tier 1,Business Service,Updated details as per RITM004282638,Internal,ijess202,global,,Adobe Experience Manager - Platform,ProblemManager_APS-PROB,,,,Revenue Generating,Grace Chorey,Grace Chorey,Application Production Support,PADMA NEELAGARU,rcamp253,CI ID: BSN0001125; Name: Adobe Experience Manager- Content Transformation Service; Alias: AEM; Approval group: Incident-Mgmt-DigitalAndReservations-L2-APPRV; Managed by: Grace Chorey; Support group: IncidentMgmt-Digital-L2-Support; Manufacturer/Vendor: ; Short Description: Content Transformation Service. The app consumes data from AEM and exposes content as a service for ; Assigned to: ; Business criticality: Tier 1; Class: Business Service; Comments: Updated details as per RITM004282638; Consumer type: Internal; Created by: ijess202; Domain: global; Managed By Group: ; Parent: Adobe Experience Manager - Platform; Problem Manager Group: ProblemManager_APS-PROB; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: Revenue Generating; Service Executive : Grace Chorey; Service Owner: Grace Chorey; Service Team: Application Production Support; Supported by: PADMA NEELAGARU; Updated by: rcamp253,218,41
BSN0001741,Adobe Experience Manager-Digital Assets Center Assets Service,DAC Assets Service,Incident-Mgmt-DigitalAndReservations-L2-APPRV,Grace Chorey,IncidentMgmt-Digital-L2-Support,,"Digital Assets Center project wants to deploy a microservice API layer to expose the DAC Assets & corresponding Metadata attributes to UXL / Graph QL. This service will fetch assets and its metadata based on various query parameters (Product ID, MARSHA, Room Pool Code).
Confluence Link: https://confluence.marriott.com/display/CODI/19.+DAC+Assets+Service+%28DAC+API%29+Documentation
Infrastructure managed by Marriott
...........................................................................................................................................................................................................................................
Top 25 = Yes
Revenue Generating = Yes
Business Domain = Marketing & Loyalty
APS-Config-TM = Padma Neelagaru
B2B Status = Complete
Simple Dependency Status = Complete
Service Map Status = NA
Validated =  9/12/22
VBy = Khan, Hashim
",,Tier 2,Business Service,Updated details as per RITM004282638,Internal,ijess202,global,,Adobe Experience Manager - Platform,ProblemManager_APS-PROB,,,,Revenue Generating,Grace Chorey,Grace Chorey,Application Production Support,PADMA NEELAGARU,rcamp253,CI ID: BSN0001741; Name: Adobe Experience Manager-Digital Assets Center Assets Service; Alias: DAC Assets Service; Approval group: Incident-Mgmt-DigitalAndReservations-L2-APPRV; Managed by: Grace Chorey; Support group: IncidentMgmt-Digital-L2-Support; Manufacturer/Vendor: ; Short Description: Digital Assets Center project wants to deploy a microservice API layer to expose the DAC Assets & co; Assigned to: ; Business criticality: Tier 2; Class: Business Service; Comments: Updated details as per RITM004282638; Consumer type: Internal; Created by: ijess202; Domain: global; Managed By Group: ; Parent: Adobe Experience Manager - Platform; Problem Manager Group: ProblemManager_APS-PROB; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: Revenue Generating; Service Executive : Grace Chorey; Service Owner: Grace Chorey; Service Team: Application Production Support; Supported by: PADMA NEELAGARU; Updated by: rcamp253,222,42
BSN0001361,Adobe Experience Platform,AEP,MI-CDP-PLATFORM-APPRV,Subha Krishnan,IncidentMgmt-Digital-L2-Support,,"THIS IS A PILOT

This is not official and not being tracked right now.  There is infrastructure and B2B dependencies but this service is still in test phase.

Adobe Experience Manager (AEM) is Marriott's new digital experience platform.  AEM brings content management system (CMS) and digital asset management (DAM) together — in one place.  

https://confluence.marriott.com/display/IM/Architecture+-+AEM
=========================================================================================
app = adobeexperienceplatform
environment = prod,dev,test,perf
Top 25 = Yes

Service Map Status = NA",,Tier 4,Business Service,,Internal,ijess202,global,,Adobe Experience Platform,ProblemManager_APS-PROB,,,,Revenue Generating,Syed Asad,Kyle Rosel,Application Production Support,Robert Campbell,rcamp253,"CI ID: BSN0001361; Name: Adobe Experience Platform; Alias: AEP; Approval group: MI-CDP-PLATFORM-APPRV; Managed by: Subha Krishnan; Support group: IncidentMgmt-Digital-L2-Support; Manufacturer/Vendor: ; Short Description: THIS IS A PILOT

This is not official and not being tracked right now.  There is infrastructure and ; Assigned to: ; Business criticality: Tier 4; Class: Business Service; Comments: ; Consumer type: Internal; Created by: ijess202; Domain: global; Managed By Group: ; Parent: Adobe Experience Platform; Problem Manager Group: ProblemManager_APS-PROB; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: Revenue Generating; Service Executive : Syed Asad; Service Owner: Kyle Rosel; Service Team: Application Production Support; Supported by: Robert Campbell; Updated by: rcamp253",199,43
BSN0002769,Adobe Illustrator,,LAW-SOS-APPRV-AMER,David Sanders,LAWSOS-Support-AMER,,LAWSOS,,Tier 5,Business Service,,Internal,ijess202,global,,,,,,,,Gerald Nguyen,David Sanders,,,ijess202,CI ID: BSN0002769; Name: Adobe Illustrator; Alias: ; Approval group: LAW-SOS-APPRV-AMER; Managed by: David Sanders; Support group: LAWSOS-Support-AMER; Manufacturer/Vendor: ; Short Description: LAWSOS; Assigned to: ; Business criticality: Tier 5; Class: Business Service; Comments: ; Consumer type: Internal; Created by: ijess202; Domain: global; Managed By Group: ; Parent: ; Problem Manager Group: ; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : Gerald Nguyen; Service Owner: David Sanders; Service Team: ; Supported by: ; Updated by: ijess202,154,44
BSN0002767,Adobe InDesign,,LAW-SOS-APPRV-AMER,David Sanders,LAWSOS-Support-AMER,,LAWSOS,,Tier 5,Business Service,,Internal,ijess202,global,,,,,,,,Gerald Nguyen,David Sanders,,,ijess202,CI ID: BSN0002767; Name: Adobe InDesign; Alias: ; Approval group: LAW-SOS-APPRV-AMER; Managed by: David Sanders; Support group: LAWSOS-Support-AMER; Manufacturer/Vendor: ; Short Description: LAWSOS; Assigned to: ; Business criticality: Tier 5; Class: Business Service; Comments: ; Consumer type: Internal; Created by: ijess202; Domain: global; Managed By Group: ; Parent: ; Problem Manager Group: ; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : Gerald Nguyen; Service Owner: David Sanders; Service Team: ; Supported by: ; Updated by: ijess202,155,45
CI057761114,Adobe Message Center,,Incident-Mgmt-DigitalAndReservations-L2-APPRV,Grace Chorey,Data-L3-Adobe-Campaigns-Support,,"Child Service to Adobe Campaign
Adobe Message Centre is used for sending Push Notifications to users who have Bonvoy App installed.

https://confluence.marriott.com/display/IM/Adobe+Campaign+Management
================================================================
EAA Master ID = 315
Original 70 = No
Original 70 ID = 71
Top 25 = No
Revenue Generating = No
Business Domain = Marketing & Loyalty
APS-Config-TM = Padma Neelagaru
B2B Status = Complete
Simple Dependency Status = NA
Service Map Status = NA
Validated = 10/17/2019
VBy = BUILD TEAM (L3 TEAM)",,3 - less critical,Business Service,Updated details as per RITM004282638,,hmcon148,global,,,ProblemManager_APS-PROB,,,,,Grace Chorey,Grace Chorey,Application Production Support,PADMA NEELAGARU,pgarg688,"CI ID: CI057761114; Name: Adobe Message Center; Alias: ; Approval group: Incident-Mgmt-DigitalAndReservations-L2-APPRV; Managed by: Grace Chorey; Support group: Data-L3-Adobe-Campaigns-Support; Manufacturer/Vendor: ; Short Description: Child Service to Adobe Campaign
Adobe Message Centre is used for sending Push Notifications to users; Assigned to: ; Business criticality: 3 - less critical; Class: Business Service; Comments: Updated details as per RITM004282638; Consumer type: ; Created by: hmcon148; Domain: global; Managed By Group: ; Parent: ; Problem Manager Group: ProblemManager_APS-PROB; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : Grace Chorey; Service Owner: Grace Chorey; Service Team: Application Production Support; Supported by: PADMA NEELAGARU; Updated by: pgarg688",205,46
BSN0002771,Adobe PhotoShop,,LAW-SOS-APPRV-AMER,David Sanders,LAWSOS-Support-AMER,,LAWSOS,,Tier 5,Business Service,,Internal,ijess202,global,,,,,,,,Gerald Nguyen,David Sanders,,,ijess202,CI ID: BSN0002771; Name: Adobe PhotoShop; Alias: ; Approval group: LAW-SOS-APPRV-AMER; Managed by: David Sanders; Support group: LAWSOS-Support-AMER; Manufacturer/Vendor: ; Short Description: LAWSOS; Assigned to: ; Business criticality: Tier 5; Class: Business Service; Comments: ; Consumer type: Internal; Created by: ijess202; Domain: global; Managed By Group: ; Parent: ; Problem Manager Group: ; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : Gerald Nguyen; Service Owner: David Sanders; Service Team: ; Supported by: ; Updated by: ijess202,155,47
BSN0001727,Adobe Sign,,Salesforce-OASIS-2-0-APPRV,Chaitanya Chaudhary,Salesforce-OASIS-2-0-Support,,,,Tier 3,Business Service,,Internal,ijess202,global,,,,,,,,Naveen Manga,Charles Bolinger,,,admin,CI ID: BSN0001727; Name: Adobe Sign; Alias: ; Approval group: Salesforce-OASIS-2-0-APPRV; Managed by: Chaitanya Chaudhary; Support group: Salesforce-OASIS-2-0-Support; Manufacturer/Vendor: ; Short Description: ; Assigned to: ; Business criticality: Tier 3; Class: Business Service; Comments: ; Consumer type: Internal; Created by: ijess202; Domain: global; Managed By Group: ; Parent: ; Problem Manager Group: ; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : Naveen Manga; Service Owner: Charles Bolinger; Service Team: ; Supported by: ; Updated by: admin,161,48
CI000539446,Adobe SVG Viewer,,Global Service Desk-APPRV,Bruce Nguyen,Tier-1-Technical-Support-EG,,Service Desk,,4 - not critical,Business Service,,,rthomas@runbox.com,global,,,,,,,,Naveen Manga,Pranesh Halder,,,cspha088,CI ID: CI000539446; Name: Adobe SVG Viewer; Alias: ; Approval group: Global Service Desk-APPRV; Managed by: Bruce Nguyen; Support group: Tier-1-Technical-Support-EG; Manufacturer/Vendor: ; Short Description: Service Desk; Assigned to: ; Business criticality: 4 - not critical; Class: Business Service; Comments: ; Consumer type: ; Created by: rthomas@runbox.com; Domain: global; Managed By Group: ; Parent: ; Problem Manager Group: ; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : Naveen Manga; Service Owner: Pranesh Halder; Service Team: ; Supported by: ; Updated by: cspha088,161,49
CI068844559,Adobe Test & Target,,Incident-Mgmt-Consumer-Analytics-L2-APPRV,Martin Aliaga,Adobe-Target-Support,Adobe Systems,"Adobe Target is mainly used by the Marriott Digital team to run optimization tests on M.com and the mobile app. These tests are changes to the website like different colored buttons, different page layout or completely different page functionality like multiple rates searches (searching for more than one rate type like AAA and GOV at the same time). These changes are measured for their effects on the end-users, if it is positive then the change is made permanent via changes to the Aries code base. Target is also used to provide quick changes to the site like emergency banners on the Chinese homepage giving information about the coronavirus. We also use Target to ""patch"" functionality on the website. We previously forced users who chose the AAA rate to enter a legitimate AA number or they could not book that rate.  

No Confluence link available.
================================================================
EAA ID = 
Original 70 = No
Original 70 ID = 
Top 25 = No
Revenue Generating = No
Business Domain = Marketing & Loyalty
APS-Config-TM = Padma Neelagaru
B2B Status = Complete
Simple Dependency Status = Complete
Service Map Status = NA
Validated = 3/11/2020
VBy = Kevin Wasik",,Tier 4,Business Service,Details updated as per RITM004282655,,jbhow340,global,,,ProblemManager_APS-PROB,,,,,Grace Chorey,Grace Chorey,Application Production Support,PADMA NEELAGARU,pgarg688,CI ID: CI068844559; Name: Adobe Test & Target; Alias: ; Approval group: Incident-Mgmt-Consumer-Analytics-L2-APPRV; Managed by: Martin Aliaga; Support group: Adobe-Target-Support; Manufacturer/Vendor: Adobe Systems; Short Description: Adobe Target is mainly used by the Marriott Digital team to run optimization tests on M.com and the ; Assigned to: ; Business criticality: Tier 4; Class: Business Service; Comments: Details updated as per RITM004282655; Consumer type: ; Created by: jbhow340; Domain: global; Managed By Group: ; Parent: ; Problem Manager Group: ProblemManager_APS-PROB; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : Grace Chorey; Service Owner: Grace Chorey; Service Team: Application Production Support; Supported by: PADMA NEELAGARU; Updated by: pgarg688,202,50
CI070207095,ADP Payroll Canada,,Global Service Desk-APPRV,Bruce Nguyen,Tier-1-Technical-Support-EG,,ADP Payroll PR,,4 - not critical,Business Service,,,ijess202,global,,,,,,,,Jeffrey Golding,Elizabeth Wentzel,,,cspha088,CI ID: CI070207095; Name: ADP Payroll Canada; Alias: ; Approval group: Global Service Desk-APPRV; Managed by: Bruce Nguyen; Support group: Tier-1-Technical-Support-EG; Manufacturer/Vendor: ; Short Description: ADP Payroll PR; Assigned to: ; Business criticality: 4 - not critical; Class: Business Service; Comments: ; Consumer type: ; Created by: ijess202; Domain: global; Managed By Group: ; Parent: ; Problem Manager Group: ; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : Jeffrey Golding; Service Owner: Elizabeth Wentzel; Service Team: ; Supported by: ; Updated by: cspha088,159,51
CI000539448,ADP Payroll Puerto Rico,,Global Service Desk-APPRV,Bruce Nguyen,Tier-1-Technical-Support-EG,,ADP Payroll PR,,4 - not critical,Business Service,,,rthomas@runbox.com,global,,,,,,,,Jeffrey Golding,Elizabeth Wentzel,,,cspha088,CI ID: CI000539448; Name: ADP Payroll Puerto Rico; Alias: ; Approval group: Global Service Desk-APPRV; Managed by: Bruce Nguyen; Support group: Tier-1-Technical-Support-EG; Manufacturer/Vendor: ; Short Description: ADP Payroll PR; Assigned to: ; Business criticality: 4 - not critical; Class: Business Service; Comments: ; Consumer type: ; Created by: rthomas@runbox.com; Domain: global; Managed By Group: ; Parent: ; Problem Manager Group: ; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : Jeffrey Golding; Service Owner: Elizabeth Wentzel; Service Team: ; Supported by: ; Updated by: cspha088,164,52
BSN0002011,AEP Nifi process - Production,PRODUCTION Service Account Expiration,GIS-IAM-Ops-APPRV,Kuppusamy Sellamuthu,GIS-IAM-Ops,,Can you provide help to prevent expiration of this production service account that is required for Airflow server to trigger AEP Nifi workflows? More details can be found in the attached screenshot of the expiry notice email,,Tier 3,Business Service,,Internal,ijess202,global,,,,,,,,Neena Graham,Kyle Rosel,,,admin,CI ID: BSN0002011; Name: AEP Nifi process - Production; Alias: PRODUCTION Service Account Expiration; Approval group: GIS-IAM-Ops-APPRV; Managed by: Kuppusamy Sellamuthu; Support group: GIS-IAM-Ops; Manufacturer/Vendor: ; Short Description: Can you provide help to prevent expiration of this production service account that is required for A; Assigned to: ; Business criticality: Tier 3; Class: Business Service; Comments: ; Consumer type: Internal; Created by: ijess202; Domain: global; Managed By Group: ; Parent: ; Problem Manager Group: ; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : Neena Graham; Service Owner: Kyle Rosel; Service Team: ; Supported by: ; Updated by: admin,181,53
CI000007803,Aetna,,mhubHR-ITMarriott-APPRV,Divya Shahani,mhubHR-ITMarriott-Support,,"Health Insurance Provider for Marriott associates  and life and disability.
Request to delete BS.",,4 - not critical,Business Service,Updated attributes as per RITM002174414,,kabinaya,global,,,,GT-HR-PROB,,,,Naveen Manga,Divya Shahani,Corporate Systems,,cspha088,"CI ID: CI000007803; Name: Aetna; Alias: ; Approval group: mhubHR-ITMarriott-APPRV; Managed by: Divya Shahani; Support group: mhubHR-ITMarriott-Support; Manufacturer/Vendor: ; Short Description: Health Insurance Provider for Marriott associates  and life and disability.
Request to delete BS.; Assigned to: ; Business criticality: 4 - not critical; Class: Business Service; Comments: Updated attributes as per RITM002174414; Consumer type: ; Created by: kabinaya; Domain: global; Managed By Group: ; Parent: ; Problem Manager Group: ; Problem Owner Group: GT-HR-PROB; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : Naveen Manga; Service Owner: Divya Shahani; Service Team: Corporate Systems; Supported by: ; Updated by: cspha088",194,54
BSN0002865,Agilysys Fleet Management,,Agilysys-Stay-Interface-APPRV-US-CAN,Adam Jones,Agilysys-Stay-Interface-Dev-US-CAN,,"Service Map Status = NA
Used to manage the infrastructure at a high level.",,Tier 1,Business Service,,Internal,pgarg688,global,Agilysys-Stay-Interface-Dev-US-CAN,,ProblemManager_APS-PROB,Agilysys-Stay-Interface-PROB,,,Revenue Impacting (Non-Revenue Generating),Syed Asad,William Rosenberg,Application Production Support,Robert Campbell,rcamp253,"CI ID: BSN0002865; Name: Agilysys Fleet Management; Alias: ; Approval group: Agilysys-Stay-Interface-APPRV-US-CAN; Managed by: Adam Jones; Support group: Agilysys-Stay-Interface-Dev-US-CAN; Manufacturer/Vendor: ; Short Description: Service Map Status = NA
Used to manage the infrastructure at a high level.; Assigned to: ; Business criticality: Tier 1; Class: Business Service; Comments: ; Consumer type: Internal; Created by: pgarg688; Domain: global; Managed By Group: Agilysys-Stay-Interface-Dev-US-CAN; Parent: ; Problem Manager Group: ProblemManager_APS-PROB; Problem Owner Group: Agilysys-Stay-Interface-PROB; Product Owner Executive: ; Product Owner: ; Revenue Impact: Revenue Impacting (Non-Revenue Generating); Service Executive : Syed Asad; Service Owner: William Rosenberg; Service Team: Application Production Support; Supported by: Robert Campbell; Updated by: rcamp253",226,55
