"u_ci_id","name","u_alias","short_description","support_group","managed_by_group","u_product_owners","parent","u_service_team","u_problem_owner_group","u_problem_manager_group","u_service_executive","owned_by","managed_by","change_control","assignment_group","u_product_owner_exe","manufacturer","assigned_to","sys_domain","comments","busines_criticality","sys_class_name","consumer_type","sys_created_by","u_revenue_impact","supported_by","sys_updated_by"
"BSN0001889","Loyalty - Partner - Prod","Loyalty - Partner - Prod","Top 25 = Yes
Service Map Status = WOC
loyalty-partners","Loyalty-IT-L3-Support-Support","","","Loyalty - Partner - Prod","Application Production Support","Loyalty-IT-L3-PROB","ProblemManager_APS-PROB","Konda Yeduguri","Jeffrey Ecott","Peter Gullo","Loyalty-IT-Prod-Apprv","","","","James Overton Jr.","global","CI updated as per RITM004519687","Tier 2","Tag-Based Application Service","Internal","ijess202","Revenue Generating","Robert Campbell","admin"
"CI068164390","Open Table Map","","","","","","","","","","Sarah Searls","NEIL SMITH","","","","","","","global","Manual-GDPR","4 - not critical","Application Service","","ezhai301","None","","admin"
"CI000553750","Remote Desktop Gateway","Remote Access Control Gateway (ACS) Service","Add access control, including the processes, rules and deployment mechanisms which control access to global network systems and remote access gateway resources.","Network-Enterprise-Office-Firewall-Ops","","","","GWS","","","James Scholefield","Darren McMahon","Randall Hughes","TWP-Mobile-APPRV","","","","","global","Imported by rthomas","2 - somewhat critical","Business Application","","rthomas@runbox.com","None","","admin"
"BSN0003253","Wastely Food Waste Reduction Solution","Wastely Food Waste Reduction Solution"," Food Waste Reduction","GC-PKI-SSO-Support-AP","","","","","","","Liang Da Ren","Liang Da Ren","Hua Zhang","GC-PKI-SSO-APPRV-AP","","","","","global","","Tier 3","Calculated Application Service","Internal","mviju288","None","","admin"
"SNSVC0001178","digitalms-spring-property-contactless-lookup-app","","Service Map Status = New","","","","","Application Production Support","","ProblemManager_APS-PROB","Grace Chorey","Grace Chorey","","","","","","","global","Updated details as per RITM004282638","1 - most critical","Tag-Based Application Service","Internal","ezhai301","None","PADMA NEELAGARU","admin"
"CI078925459","Taleo Business Objects Map","","","","","","","","","","Jayesh Amdekar","Divya Shahani","","","","","","","global","","4 - not critical","Application Service","","ijess202","None","","admin"
"CI047790105","Pinpoint Employee Directory","","","Service Desk-ENG-L1","","","","","","","James Scholefield","Karen Countee","Bruce Nguyen","GWS-WE Product-MGS-APPRV","","","","","global","","3 - less critical","Business Application","","ezhai301","None","","admin"
"CI080953248","cloud platform services::prod","","Service Map Status = New","","","","","","","ProblemManager_APS-PROB","Adnan Haq","Adnan Haq","","","","","","","global","","4 - not critical","Tag-Based Application Service","","ezhai301","None","","admin"
"BSN0003219","BeyondTrust","","","","","","","GWS","","","Darren McMahon","Darren McMahon","","","","","","","global","","Tier 2","Calculated Application Service","Internal","pgarg688","None","","admin"
"BSN0002887","Marriott.com - PHOENIX Property Portal PPV5","","Service Map Status = New","AEM-PPv5-Dev-US-CAN","AEM-PPv5-Dev-US-CAN","","","Application Production Support","","ProblemManager_APS-PROB","Sarah Searls","Richard DiStefano","Arun Menavan","Incident-Mgmt-DigitalAndReservations-L2-APPRV","","","","Sangeetha Thomas","global","","Tier 2","Business Service","Internal","pgarg688","Revenue Generating","PADMA NEELAGARU","admin"
"CI000539453","Airwatch Mobile Devices","","This service is a duplicate of ""Airwatch"" and should eventually be deleted   8/16/17
The Core CI field has been set to FALSE so it is no longer available in any of the selection lists on incident or change forms","GWS-Messaging-Collaboration-Ops","","","","","","","James Scholefield","Stephanie Smith","Ashish Tiwari","GWS-Messaging-Collaboration-Ops-APPRV","","","","","global","","4 - not critical","Business Service","","rthomas@runbox.com","None","","admin"
"CI000539501","Entrust IdentityGuard","","Service Desk","Tier-1-Technical-Support-EG","","","","GIS","","","Pedro Alvarez","James Terretta","Bruce Nguyen","Global Service Desk-APPRV","","","","","global","Updated Service Owner and Service Executive as per RITM001716047","4 - not critical","Business Service","","rthomas@runbox.com","None","","admin"
"CI000007878","Microsoft Office 365","","IT Delivery - End User Computing - Workplace and End User Applications - Microsoft Office 365","Service Desk-ENG-L1","","","","GWS","","","James Scholefield","Darren McMahon","Bruce Nguyen","GWS-Workplace & End User Applications-APPRV","","","","","global","","2 - somewhat critical","Business Application","","kabinaya","None","","admin"
"SNSVC0001935","upl-utility-green","","Service Map Status = New","","","","","Application Production Support","","ProblemManager_APS-PROB","Grace Chorey","Grace Chorey","","","","","","","global","Updated details as per RITM004282638","Tier 3","Tag-Based Application Service","Internal","ezhai301","None","PADMA NEELAGARU","admin"
"CI007740541","HP uCMDB","","3/21: ddewa681 - updated name to be more indicative of Business Service. 
MICMDBP1 - this is the database which supports, and eventually should be mapped to this service.","Tools-Engineering-Automation-HGT-Support","","","","","","","Adnan Haq","Matthew Barczak","","ICD-Private-Cloud-Platform-APPRV","","","","","global","","2 - somewhat critical","Business Service","","ezhai301","None","","admin"
"SNSVC0001989","restenrichment","","Service Map Status = New","","","","","Application Production Support","","ProblemManager_APS-PROB","Jeffrey Golding","Sumit Basu","","","","","","","global","","Tier 4","Tag-Based Application Service","Internal","ezhai301","None","PADMA NEELAGARU","admin"
"SNSVC0002943","RESERVATION-MS - (AS)","RESERVATION-MS -PROD","Reservation -MS : Create, Read, Update, Search & Delete Trip. This is a child service under Enterprise API Platform.
City Express is a new acquisition that has about 150 plus properties (most of them located in Mexico) with 17.5K rooms and will be setup as a new brand (XE). 
Created 2 new Microservices (SPA-MS, Reservation -MS) will be accessed by F2GO & City Access clients through Marriott Akana Gateway:
Reservation -MS : Create, Read, Update, Search & Delete reservation/Trip.

confluence Links: 
https://confluence.marriott.com/display/CEAPI/Platform+Microservices+Capabilities+in+EKS+cluster
SPA :https://confluence.marriott.com/pages/viewpage.action?pageId=389629881
Reservation ms : https://confluence.marriott.com/display/APIPLAT/Reservation+MMF+Microservice

OSE : reservationmmf-apigreenprod1, reservationmmf-apiblueprod1
EKS LLE NameSpace :tip-platform
EKS PROD NameSpace: foundational-tip-prod1

Service Map Status = Completed","IncidentMgmt-Digital-L2-Support","","","","Application Production Support","Core-Platform-Enterprise API-PROD-PROB","ProblemManager_APS-PROB","Grace Chorey","Grace Chorey","Grace Chorey","Incident-Mgmt-DigitalAndReservations-L2-APPRV","","","","","global","Updated details as per RITM004282638","Tier 3","Tag-Based Application Service","Internal","ezhai301","Revenue Generating","PADMA NEELAGARU","admin"
"CI007605145","Toshiba - Laptop PC","","IT Delivery --> End User Devices and Operating System --> Toshiba - Laptop PC","Service Desk-ENG-L1","","","","","","","James Scholefield","Darren McMahon","Bruce Nguyen","GWS-Conf&Collab-APPRV","","","","","global","Retired as per RITM003908271","2 - somewhat critical","Business Application","","jbhow340","None","","admin"
"SNSVC0001997","msgtranslator","","Service Map Status = New","","","","","Application Production Support","","ProblemManager_APS-PROB","Jeffrey Golding","Sumit Basu","Sumit Basu","","","","","","global","","Tier 4","Tag-Based Application Service","Internal","ezhai301","None","PADMA NEELAGARU","admin"
"CI083190881","api couchbase prod10","","Service Map Status = New","","","","","Application Production Support","","ProblemManager_APS-PROB","Devesh Arora","Gurdeep Batra","SIVAKUMAR KARUPPIAH","","","","","Krishnan Seshadri","global","Updated as per RITM004282638","Tier 1","Tag-Based Application Service","","ezhai301","None","PADMA NEELAGARU","admin"
"CI000010932","One-X Agent","","","CEC-Lead-Desk-Support","","","","","CEC-Product-Services-PROB","","James Scholefield","Don Hall III","","CEC-Product-Services-APPRV","","","","","global","","4 - not critical","Business Service","","rthomas@runbox.com","None","","admin"
"BSN0003449","Platform Cross Domain Services - Prod","XDS","A set of services that encompass biz capabilities that are outside of Shop/Book. These services support one or more DTT experiences (ex. Member Benefits - NUA).","CorePlatformsEngineering-Enterprise-API","","","","Application Production Support","Core-Platform-Enterprise API-PROD-PROB","","Devesh Arora","Gurdeep Batra","Pradyumna Murlidhar","CorePlatformEngineering-APPRV-US-CAN","","","","Sucharita Babu","global","","Tier 2","Calculated Application Service","Internal","pgarg688","None","","admin"
"SNSVC0001927","graphql-gateway-proxy","","Service Map Status = New","","","","","Application Production Support","","ProblemManager_APS-PROB","Grace Chorey","Grace Chorey","","","","","","","global","Updated details as per RITM004282638","Tier 1","Tag-Based Application Service","Internal","ezhai301","None","PADMA NEELAGARU","admin"
"SNSVC0003809","Marriott.com - PHOENIX China - (AS)","","Service Map Status = NA
","IncidentMgmt-Digital-L2-Support","CN-Phoenix-web-Support-AP","","","Application Production Support","DigitalProduct-PROB","ProblemManager_APS-PROB","Qi Zhang","Norah Liu","Rahul Saxena","Incident-Mgmt-DigitalAndReservations-L2-APPRV","","","","Sharan Dyamanagoudar","global","","Tier 2","Tag-Based Application Service","Internal","lnric753","Revenue Generating","PADMA NEELAGARU","admin"
"CI000539505","Essentials","","Essentials Support","Tier-1-Technical-Support-EG","","","","","","","Jeffrey Golding","Jeffrey Golding","Bruce Nguyen","Global Service Desk-APPRV","","","","","global","","4 - not critical","Business Service","","rthomas@runbox.com","None","","admin"
"BSN0001521","Knowland","","","Knowland-Meetings-Tool-Support-US-CAN","","","","","","","Michael Hennessy","Sarah Smaller-Swift","Nicole Bertrand","Knowland-APPRV-US-CAN","","","","","global","","Tier 3","Business Service","Internal","ijess202","None","","admin"
"CI000007834","MarketPay","","The application is used by Aon to provide Marriott with market pricing, job evaluation, survey submissions, and compensation consulting.
Request to delete BS.","mhubHR-ITMarriott-Support","","","","Corporate Systems","GT-HR-PROB","","Naveen Manga","Divya Shahani","Angela Godwin","mhubHR-ITMarriott-APPRV","","","","","global","Updated attributes as per RITM002174414","4 - not critical","Business Service","","kabinaya","None","","admin"
"SNSVC0001981","pct-propertyconvertionportal","","Service Map Status = New","","","","","Application Production Support","","ProblemManager_APS-PROB","Grace Chorey","Grace Chorey","","","","","","","global","Updated details as per RITM004282638","Tier 4","Tag-Based Application Service","Internal","ezhai301","None","PADMA NEELAGARU","admin"
"SNSVC0004136","CET - Cutover Execution Tool","CET-AWS-Components","AWS Components that enable CET automation and functionality allowing the Deployment team to scale the number of property migrations.","GLOBAL-IT-DTT-CET","GLOBAL-IT-DTT-CET","","","Application Production Support","GLOBAL-IT-DTT-CET-PROB","ProblemManager_APS-PROB","James Fridenberg","Juan Carlos Uy","Juan Carlos Uy","GLOBAL-IT-DTT-CET-APPRV","","","","Kovacs Kamilla","global","","Tier 3","Tag-Based Application Service","Internal","ijess202","None","PADMA NEELAGARU","admin"
"CI083132175","hsia-app","","Service Map Status = New","","","","","Application Production Support","","ProblemManager_APS-PROB","Grace Chorey","Grace Chorey","","","","","","","global","Updated as per RITM004282638","Tier 2","Tag-Based Application Service","","ezhai301","None","PADMA NEELAGARU","admin"
"BSN0001245","Beyond Trust Remote Support","","Beyond Trust Remote Support will become Marriott's new secure remote support console for the Service Desk and other IT Service teams to assist any remote desktop, server, or mobile device. Support all systems over the web, on all platforms for consolidating and standardizing support to improve incident handling time and representative.
 
This application is replacing HDX+ Remote Support.","Beyond-Trust-Remote-Support-Support-US-CAN","","","","","GWS-Workplace-End-User-Applications-PROB","ProblemManager_Infra-PROB","James Scholefield","Karen Countee","Monica Morrison","GWS-Workplace & End User Applications-APPRV","","","","","global","","Tier 1","Business Service","Internal","ijess202","None","","admin"
"CI005619848","Mobile","","IT Delivery - End User Computing - End User Devices and Operating System - Mobile","Service Desk-ENG-L1","","","","","","","James Scholefield","Darren McMahon","Bruce Nguyen","Enterprise-Voice-APPRV","","","","","global","","2 - somewhat critical","Business Service","","jbhow340","None","","admin"
"SNSVC0004980","Traveler - Prod","","Provisioning of Where to Stay Akana end point on prod for Traveler","Traveler-Support","","","","Application Production Support","Traveler-PROB","","Pamela Pierce","Talia Salem","Robin Bennefield","Traveler-APPRV","","","","","global","","Tier 1","Calculated Application Service","Internal","pgarg688","Revenue Generating","","admin"
"SNSVC0004835","Quantum Networks - PROD","Quantum Networks","Quantum Networks is a cloud-based networking solution Owned by Marriott. This solution will provide a central location for LAN Service Providers (LSPs) to manage Quantum Networks brand network devices on properties. These devices include Quantum Networks Switches, Access Points and Gateways.  ","Network-Property-Ops","Network-Property-Ops","","","Infrastructure – Network","Network-Property-Engineering-PROB","","Michael Kruk","Chase Robinson","Chase Robinson","Network-Property-Engineering-APPRV","","","","Craig Chambers","global","CI updated as per: RITM004615691","Tier 1","Application Service","Internal","mviju288","None","","admin"
"CI000356544","Bigfix for Workstation","","BigFix Deployment ActionCreation/Status.","GWS-End User Device-OS-Ops","","","","","","","James Scholefield","Randall Hughes","","GWS-Conf&Collab-APPRV","","","","","global","","3 - less critical","Business Service","","rthomas@runbox.com","None","","admin"
"CI000595797","EMC DASD (Direct Access Storage Device)","","Request types = Administer, Replace, Report, & Install - This service is used to request storage infrastructure administration.","ICD-Enterprise-Systems-Platform","","","","Infrastructure – IaaS","","","Adnan Haq","Matthew Barczak","Saket Goenka","ICD-Enterprise-Systems-Platform-APPRV","","","","","global","","3 - less critical","Business Service","","rthomas@runbox.com","None","","admin"
"CI083190866","api policy/community manager prod10","","Service Map Status = New","","","","","Application Production Support","","ProblemManager_APS-PROB","Grace Chorey","Grace Chorey","","","","","","","global","Updated as per RITM004282638","Tier 1","Tag-Based Application Service","","ezhai301","None","PADMA NEELAGARU","admin"
"BSN0002947","HandShake","","Handshake is the largest early career website providing access to students and young alumni for the University Relations-Recruiting team (URR ).  Marriott has access to the HandShake Core and Premium platform (Talent Engagement Suite) and use of their reporting platform called Insights.  This platform supports Marriott’s recruiting efforts by allowing college students to search for Marriott job postings through their universities’ HandShake portal.  Platform used by university campus's to coordinate job fair type events and allows students to know what companies are scheduled to attend","mhubHR-ITMarriott-Support","mhubHR-ITMarriott-Support","","","Corporate Systems","","","Naveen Manga","Scott Wistner","Paige Russell","mhubHR-ITMarriott-APPRV","","","","","global","","Tier 5","Business Service","Internal","pgarg688","None","","admin"
"BSN0001753","MIAssocIOT-Analytics-Pendo","In App Analytics, App Usage Analytics, App User onboarding guidance provided via","Track App usage data and provider App users with initial App demo and analytics. 
In App Analytics, App Usage Analytics, App User onboarding guidance provided via In-App callouts. ","Service Desk-ENG-L1","","","","","","","Sarah Searls","Jerry Gray","Bruce Nguyen","IOT-Vendors-Marriott-Associate-App-APPRV-US-CAN","","","Pendo.io, Inc.","","global","","Tier 3","Business Service","Internal","ijess202","None","","admin"
"CI081455300","APC Couchbase Service","","Service Map Status = New","","","","","Application Production Support","","ProblemManager_APS-PROB","Grace Chorey","Grace Chorey","","","","","","","global","Updated as per RITM004282638","4 - not critical","Tag-Based Application Service","","ezhai301","None","PADMA NEELAGARU","admin"
"CI005596081","Office 365 Email","mail email","IT Delivery - End User Computing - Backoffice System Management Applications - Exchange (O365)","GWS-Messaging-Collaboration-Ops","","","","GWS","","","James Scholefield","Albert Simmons III","Ashish Tiwari","GWS-eMail&Mess-APPRV","","","Microsoft","","global","","2 - somewhat critical","Business Application","","jbhow340","None","","admin"
"SNSVC0004103","Omilia Cloud Platform","OCP","Omilia natural language IVR","CEC-Engagement-Channel-Config-Support","CEC-Engagement-Channel-Config-Support","","","","","","Don Hall III","Eric Coles","Seth Williamson","CEC-Engagement-Channel-Config-APPRV","","","","","global","CI updated as per: RITM004329084","Tier 3","Calculated Application Service","Internal","ijess202","Revenue Impacting (Non-Revenue Generating)","","admin"
"CI000539444","Adobe Flash Player","","IT Delivery - End User Computing - Workplace and End User Applications - Adobe Flash Player","Service Desk-ENG-L1","","","","GWS","","","James Scholefield","Darren McMahon","Bruce Nguyen","GWS-Workplace & End User Applications-APPRV","","","","","global","","2 - somewhat critical","Business Application","","rthomas@runbox.com","None","","admin"
"CI083190923","api akana gateway prod10","","Service Map Status = New","","","","","Application Production Support","","ProblemManager_APS-PROB","Devesh Arora","Gurdeep Batra","SIVAKUMAR KARUPPIAH","","","","","Krishnan Seshadri","global","Updated as per RITM004282638","Tier 1","Tag-Based Application Service","","ezhai301","None","PADMA NEELAGARU","admin"
"CI005234799","Microsoft Access","","IT Delivery - End User Computing - Workplace and End User Applications - Microsoft Access","Service Desk-ENG-L1","","","","","","","James Scholefield","Darren McMahon","Bruce Nguyen","GWS-Workplace & End User Applications-APPRV","","","Microsoft","","global","","2 - somewhat critical","Business Application","","jbhow340","None","","admin"
"BSN0003423","Sales Companion / eMenus - Prod","","MI Sales Companion is Marriott's exclusive Business to Business sales platform for proactive sales, proposals reactive sales and event sales with event menus and floor plans. Event eMenus via MI Sales Companion are a no cost solution for all our hotels to create dynamic digital event menus and craft proposals to our customers.","Marriott-Sales-Companion-Support-US-CAN","","","","Application Production Support","","","Nicola Hamilton","Danielle Yingling","Danielle Yingling","Marriott-Sales-Companion-APPRV-US-CAN","","","","","global","","Tier 5","Calculated Application Service","Internal","ijess202","Revenue Impacting (Non-Revenue Generating)","","admin"
"BSN0003066","Hult EF - Prod","","EF will support Marriott’s ‘Elevate’ program to develop leadership skills through language training. EF language training programs aim to give all levels of Marriott talent the confidence and communication skills needed to succeed in their roles today and tomorrow.  ","mhubHR-ITMarriott-Support","mhubHR-ITMarriott-Support","","","Corporate Systems","","","Scott Wistner","Scott Wistner","Logan Besch","mhubHR-ITMarriott-APPRV","","","","","global","","Tier 5","Calculated Application Service","Internal","ijess202","None","","admin"
"BSN0002739","Perceptyx Prod","","Perceptyx engagement platform to establish continuous listening surveys for Marriott associates.","mhubHR-ITMarriott-Support","mhubHR-ITMarriott-Support","","","","","","Scott Wistner","Scott Wistner","Richard Hor","mhubHR-ITMarriott-APPRV","","","","","global","","Tier 5","Business Service","Internal","pgarg688","None","","admin"
"CI000595799","IDS (IBM Directory Server)","","Use this service to Troubleshoot EDS/PKI/TFSC/TDS directories.","GIS-IAM-Ops","","","","GIS","","","Pedro Alvarez","James Terretta","Saket Goenka","GIS-IAM-Ops-APPRV","","","","","global","Updated Service Owner and Service Executive as per RITM001716047","3 - less critical","Business Service","","rthomas@runbox.com","None","","admin"
"CI076976717","Workstation - Lenovo","","IT Delivery - End User Computing - End User Devices and Operating System - Workstation - Lenovo","Service Desk-ENG-L1","","","","GWS","","","James Scholefield","Darren McMahon","Michael Stotler","GWS-Windows-APPRV","","","Microsoft","","global","","2 - somewhat critical","Business Application","","ijess202","None","","admin"
"SNSVC0001176","property-contactless-lookup","","Service Map Status = New","","","","","Application Production Support","","ProblemManager_APS-PROB","Grace Chorey","Grace Chorey","","","","","","","global","Updated details as per RITM004282638","1 - most critical","Tag-Based Application Service","Internal","ezhai301","None","PADMA NEELAGARU","admin"
"BSN0001609","MIAssocApp - Access Control - SwiftConnect","MI Associate App Turn Style Access, Elevator Access, Door Reader Access, New HQ","Associate App functionality to access HQ turnstyles, call elevators and specialty spaces  via the MI Associate App. ","Service Desk-ENG-L1","","","","","","","Sarah Searls","Jerry Gray","Bruce Nguyen","IOT-Vendors-Marriott-Associate-App-APPRV-US-CAN","","","SwiftConnect Inc.","","global","","Tier 3","Business Service","Internal","ijess202","None","","admin"
"CI000010201","Voyager  ","","'- RETIRED IN JULY","mhubHR-ITMarriott-Support","","","","Corporate Systems","GT-HR-PROB","","Naveen Manga","Divya Shahani","Divya Shahani","mhubHR-ITMarriott-APPRV","","","","","global","Updated attributes as per RITM002174414","4 - not critical","Business Service","","rthomas@runbox.com","None","","admin"
"CI000539497","eConferencing","","IT Delivery - End User Computing - Conferencing and Collaboration - eConferencing","Service Desk-ENG-L1","","","","","","","James Scholefield","Albert Simmons III","Bruce Nguyen","GWS-Conf&Collab-APPRV","","","","","global","","2 - somewhat critical","Business Application","","rthomas@runbox.com","None","","admin"
"CI000539529","Java JRE","","IT Delivery - End User Computing - Workplace and End User Applications - Java JRE","Tier-1-Technical-Support-EG","","","","GWS","","","James Scholefield","Darren McMahon","Michael Stotler","GWS-Windows-APPRV","","","","","global","","2 - somewhat critical","Business Application","","rthomas@runbox.com","None","","admin"
"CI000007885","Enterprise Property Information Center","EPIC","Property-related data is needed to support overall use cases and analytics.  Currently, property data is sourced from MRDW NZ, MRW NZ, and OASIS data extracts sent to CX team via weekly email.  The CX team combines information from all sources into one master_property table which is stored in Analytical Workspace.  No one specific use case requires EPIC data, instead virtually every use case or analysis will use it.  In addition to the current data, the use cases require further data fields from EPIC.

EPIC provides a repository for all pertinent hotel data and to distribute them to various channels thru Single Image Hotel.

Marriott's Enterprise Property Information Center (EPIC) is a centralized database that collects, stores, and distributes property information for all Marriott hotels. EPIC houses approximately 3,500 fields of data that are currently used by more than 60 internal/external systems.

Property profiles accessible through the EPIC web site allow users to maintain data on amenities, physical attributes, airport information, local area information, etc. EPIC streamlines the data collection and distribution process for hotels while maintaining a high standard of quality and consistency across key systems.

================================================================
EAA Master ID = 204
Original 70 = Yes
Original 70 ID = 18
Top 25 = No
Revenue Generating = No
Business Domain = Web / M.com
Service Map Status = Completed
Validated = 20220509
VBy = Piyush Kumar ","Digital-Products-EPIC-bundle","","","Enterprise Property Information Center","Application Production Support","Digital-Products-EPIC-bundle-PROB","ProblemManager_APS-PROB","James Scholefield","Lakshmikanth Tripuraneni","Lakshmikanth Tripuraneni","Incident-Mgmt-DigitalAndReservations-L2-APPRV","","","","","global","MAP","Tier 1","Business Service","","kabinaya","None","Robert Campbell","admin"
"CI086507266","akana-api-service gateway","","Service Map Status = New","","","","","Application Production Support","","ProblemManager_APS-PROB","Devesh Arora","Gurdeep Batra","SIVAKUMAR KARUPPIAH","","","","","Krishnan Seshadri","global","Updated details as per RITM004282638","Tier 1","Tag-Based Application Service","","ezhai301","None","PADMA NEELAGARU","admin"
"BSN0002187","IntelliOpsManagementGatewayProd","IntelliOpsManagementGatewayProd","","ICD-Public-Cloud-Infrastructure","","","","","","","Thaddeus Shepherd","Divya Shahani","Benjamin Israel","mhubHR-ITMarriott-APPRV","","","","","global","","Tier 5","Business Service","Internal","ijess202","None","","admin"
"CI085518167","Empowered Bridge - Prod","","","Vulnerability-Management-Solutions-Support","","","","","","","Kristin Harding","Anthony Tulio","Michael Ferrone","Vulnerability-Management-APPRV","","","","","global","","Tier 5","Business Service","","ijess202","None","","aftul711"
"CI000539466","BlueCube Time Clock","","MBS","Tier-1-Technical-Support-EG","","","","","","","Divya Shahani","Scott Wistner","Bruce Nguyen","Global Service Desk-APPRV","","","","","global","","4 - not critical","Business Service","","rthomas@runbox.com","None","","ahsu001"
"CI000007992","Cognos Reporting for Consolidated Inventory","SRW","Reporting tool used by Sales and Even Managers which provides data from Consolidated Inventory.","SFAWeb-CI-Help-Desk-Support","","","","Corporate Systems","","","Julia Morrison","Pranesh Halder","Pranesh Halder","SRW-APPRV","","","Alight Solutions LLC","","global","","4 - not critical","Business Service","","kabinaya","None","","ahsu001"
"BSN0001715","APEC Revenue Management Incentive Plan","APEC RMIP","","APEC-IncentivePlans-Support-L1","APEC-IncentivePlans-Support-L1","","","","","","Tessa Miranti Rahardjo","Aratrika Samanta","Aratrika Samanta","AP-Performance-Services-Approval-Grp-APPRV-AP","","","","","global","","Tier 5","Business Service","Internal","ijess202","None","","asama082"
"BSN0001711","APEC Sales Incentive Plan","APEC SIP","","APEC-IncentivePlans-Support-L1","APEC-IncentivePlans-Support-L1","","","","","","Ashley Hansen","Aratrika Samanta","Aratrika Samanta","AP-Performance-Services-Approval-Grp-APPRV-AP","","","","","global","","Tier 5","Business Service","Internal","ijess202","None","","asama082"
"CI085742437","WebCTRL","","","Energy-Group-Support","","","","","","","Robert Bahl","Brian McCallon","Brian McCallon","Energy-Group-APPRV","","","","","global","","Tier 5","Business Service","","ijess202","None","","bawic641"
"CI000539539","Lettermark","","LetterMark Support","GWS-EUC-End-User-Tools-Support","","","","","","","Darren McMahon","Roald Keith","Cherilyn Easterwood","GWS-Conf&Collab-APPRV","","","","","global","","4 - not critical","Business Service","","rthomas@runbox.com","None","","bpngu143"
"CI066227547","Oracle SBC Management","","","CEC-Network-Services-Support","","","","","","","Matamatasua Tupai","Rhonda Lundsgaard","Craig Moore","CEC-Network-Services-APPRV","","","","","global","Updated per SCTASK005235314.  CJ","1 – most critical","Business Service","","ijess202","None","","cejoh714"
"CI066227533","Avaya - Session Manager","","","CEC-Network-Services-Support","","","","","","","Matamatasua Tupai","Rhonda Lundsgaard","Craig Moore","CEC-Network-Services-APPRV","","","","","global","Updated per SCTASK005235314.  CJ","1 – most critical","Business Service","","ijess202","None","","cejoh714"
"CI066227545","Microcall - Call Accounting Application","","","CEC-Network-Services-Support","","","","","","","Matamatasua Tupai","Rhonda Lundsgaard","Craig Moore","CEC-Network-Services-APPRV","","","","","global","Updated per SCTASK005235314.  CJ","1 – most critical","Business Service","","ijess202","None","","cejoh714"
"CI066227528","Avaya - Media Gateways","","","CEC-Network-Services-Support","","","","","","","Matamatasua Tupai","Rhonda Lundsgaard","Craig Moore","CEC-Network-Services-APPRV","","","","","global","Updated per SCTASK005235314.  CJ","1 – most critical","Business Service","","ijess202","None","","cejoh714"
"CI066227530","Avaya - Diagnostic Server","","","CEC-Network-Services-Support","","","","","","","Matamatasua Tupai","Rhonda Lundsgaard","Craig Moore","CEC-Network-Services-APPRV","","","","","global","Updated per SCTASK005235314.  CJ","1 – most critical","Business Service","","ijess202","None","","cejoh714"
"CI066227546","AT&T SIP - Contact Centers","","","CEC-Network-Services-Support","","","","","","","Matamatasua Tupai","Rhonda Lundsgaard","Craig Moore","CEC-Network-Services-APPRV","","","","","global","Updated per SCTASK005235314.  CJ","1 – most critical","Business Service","","ijess202","None","","cejoh714"
"CI000595784","Avaya Phone/Headset","","Avaya branded telephones at North American Contact Centers and Sales Offices.","CEC-Network-Services-Support","","","","","","","Matamatasua Tupai","Rhonda Lundsgaard","Christopher Whitfield","CEC-Network-Services-APPRV","","","","","global","Updated per SCTASK005235314.  CJ","2 - somewhat critical","Business Service","","dcasillo","None","","cejoh714"
"CI000595778","Avaya ACD","","Avaya ACD is the core platform for contact center and sales office telephony.  This service would be selected when making requests to change announcements, VDN's, vectoring, skills, etc... that impact the contact center or sales office environments.","CEC-Network-Services-Support","","","","","","","Matamatasua Tupai","Rhonda Lundsgaard","Christopher Whitfield","CEC-Network-Services-APPRV","","","","","global","Updated per SCTASK005235314.  CJ","2 - somewhat critical","Business Service","","dcasillo","None","","cejoh714"
"CI066227539","Avaya - Aura Device Services","","","CEC-Network-Services-Support","","","","","","","Matamatasua Tupai","Rhonda Lundsgaard","Craig Moore","CEC-Network-Services-APPRV","","","","","global","Updated per SCTASK005235314.  CJ","1 – most critical","Business Service","","ijess202","None","","cejoh714"
"CI066227532","Avaya - System Manager","","","CEC-Network-Services-Support","","","","","","","Matamatasua Tupai","Rhonda Lundsgaard","Craig Moore","CEC-Network-Services-APPRV","","","","","global","Updated per SCTASK005235314.  CJ","1 – most critical","Business Service","","ijess202","None","","cejoh714"
"CI066227527","Avaya - Communications Manager","","","CEC-Network-Services-Support","","","","","","","Matamatasua Tupai","Rhonda Lundsgaard","Craig Moore","CEC-Network-Services-APPRV","","","","","global","Updated per SCTASK005235314.  CJ","1 – most critical","Business Service","","ijess202","None","","cejoh714"
"BSN0002079","Insight eProcurement - Prod","Insight eProcurement","Insight eProcurement for HW/SW purchases","IT-Procurement-Support","","","","","","","Tia Carter-Jenkins","Cinthia Jaber","Cinthia Jaber","IT-Procurement-APPRV","","","","","global","","Tier 4","Business Service","Internal","ijess202","None","","cmjab487"
"BSN0002069","PowerBI Enterprise","","","PowerBI-Global-Technology-Support","","","","","","","Shashanka Ayyalapu","Karunakar Vanukuri","Carlos Roo","Incident-Mgmt-GlobalOperations-L2-Support-APPRV","","","","","global","","Tier 3","Business Service","Internal","ijess202","None","","croo254"
